species,name,value,n,f
01_FcaCaf,type_f0,1,14234101,1
01_FcaCaf,type_f0,2,0,0
01_FcaCaf,type_f1,1,6289819,0.4418838253290461
01_FcaCaf,type_f1,2,7944282,0.558116174670954
01_FcaCaf,type_f2,1,11056733,0.7767777536494929
01_FcaCaf,type_f2,2,3177368,0.22322224635050714
02_MusRat,type_f0,1,15081309,1
02_MusRat,type_f0,2,0,0
02_MusRat,type_f1,1,6637575,0.44011928937998684
02_MusRat,type_f1,2,8443734,0.5598807106200132
02_MusRat,type_f2,1,11704814,0.7761139301634892
02_MusRat,type_f2,2,3376495,0.22388606983651088
04_Gallus,type_f0,1,13101095,1
04_Gallus,type_f0,2,0,0
04_Gallus,type_f1,1,5756988,0.43942800201051896
04_Gallus,type_f1,2,7344107,0.560571997989481
04_Gallus,type_f2,1,10100379,0.7709568551331014
04_Gallus,type_f2,2,3000716,0.22904314486689853
05_Droso,type_f0,1,5596873,1
05_Droso,type_f0,2,0,0
05_Droso,type_f1,1,2468372,0.4410269806014894
05_Droso,type_f1,2,3128501,0.5589730193985105
05_Droso,type_f2,1,4348181,0.7768947053113409
05_Droso,type_f2,2,1248692,0.2231052946886592
06_Nematode,type_f0,1,10254097,1
06_Nematode,type_f0,2,0,0
06_Nematode,type_f1,1,4511943,0.44001368428638815
06_Nematode,type_f1,2,5742154,0.5599863157136118
06_Nematode,type_f2,1,7839573,0.7645308016883398
06_Nematode,type_f2,2,2414524,0.23546919831166022
07_yeast,type_f0,1,4488914,1
07_yeast,type_f0,2,0,0
07_yeast,type_f1,1,1942916,0.43282540053117524
07_yeast,type_f1,2,2545998,0.5671745994688248
07_yeast,type_f2,1,3341595,0.744410563445858
07_yeast,type_f2,2,1147319,0.25558943655414207
08_Arab,type_f0,1,17583454,1
08_Arab,type_f0,2,0,0
08_Arab,type_f1,1,7637188,0.434339464817322
08_Arab,type_f1,2,9946266,0.565660535182678
08_Arab,type_f2,1,13427135,0.7636232903956185
08_Arab,type_f2,2,4156319,0.23637670960438148
09_SarMon,type_f0,1,11668722,1
09_SarMon,type_f0,2,0,0
09_SarMon,type_f1,1,5104001,0.4374087410772148
09_SarMon,type_f1,2,6564721,0.5625912589227852
09_SarMon,type_f2,1,8969707,0.7686966061921777
09_SarMon,type_f2,2,2699015,0.2313033938078223
10_ants,type_f0,1,9193040,1
10_ants,type_f0,2,0,0
10_ants,type_f1,1,3989300,0.43394785620425885
10_ants,type_f1,2,5203740,0.5660521437957411
10_ants,type_f2,1,6960102,0.7571055929268229
10_ants,type_f2,2,2232938,0.2428944070731771
11_malaria,type_f0,1,5783814,1
11_malaria,type_f0,2,0,0
11_malaria,type_f1,1,2709991,0.46854739796265926
11_malaria,type_f1,2,3073823,0.5314526020373408
11_malaria,type_f2,1,4298594,0.7432109677109257
11_malaria,type_f2,2,1485220,0.2567890322890743
12_fugu,type_f0,1,15582371,1
12_fugu,type_f0,2,0,0
12_fugu,type_f1,1,6922457,0.4442492737465948
12_fugu,type_f1,2,8659914,0.5557507262534052
12_fugu,type_f2,1,12157702,0.7802215721856449
12_fugu,type_f2,2,3424669,0.21977842781435508
13_Phytophthora,type_f0,1,9854967,1
13_Phytophthora,type_f0,2,0,0
13_Phytophthora,type_f1,1,4378303,0.444273735264664
13_Phytophthora,type_f1,2,5476664,0.555726264735336
13_Phytophthora,type_f2,1,7710977,0.7824457453789546
13_Phytophthora,type_f2,2,2143990,0.2175542546210454
14_Fusarium,type_f0,1,11150051,1
14_Fusarium,type_f0,2,0,0
14_Fusarium,type_f1,1,4860426,0.4359106518884981
14_Fusarium,type_f1,2,6289625,0.5640893481115019
14_Fusarium,type_f2,1,8777753,0.7872388207013582
14_Fusarium,type_f2,2,2372298,0.21276117929864177
15_Oryza,type_f0,1,12436279,1
15_Oryza,type_f0,2,0,0
15_Oryza,type_f1,1,5807137,0.4669513284480028
15_Oryza,type_f1,2,6629142,0.5330486715519972
15_Oryza,type_f2,1,9959852,0.8008707427679935
15_Oryza,type_f2,2,2476427,0.19912925723200645
16_Solanum,type_f0,1,14021830,1
16_Solanum,type_f0,2,0,0
16_Solanum,type_f1,1,6081025,0.4336826933431656
16_Solanum,type_f1,2,7940805,0.5663173066568343
16_Solanum,type_f2,1,10651391,0.7596291639536351
16_Solanum,type_f2,2,3370439,0.24037083604636483
ATGC001,type_f0,1,652910,1
ATGC001,type_f0,2,0,0
ATGC001,type_f1,1,280962,0.4303227091023265
ATGC001,type_f1,2,371948,0.5696772908976735
ATGC001,type_f2,1,525925,0.8055091819699499
ATGC001,type_f2,2,126985,0.19449081803005008
ATGC013,type_f0,1,533537,1
ATGC013,type_f0,2,0,0
ATGC013,type_f1,1,224620,0.42100172996436985
ATGC013,type_f1,2,308917,0.5789982700356301
ATGC013,type_f2,1,409528,0.7675718834869935
ATGC013,type_f2,2,124009,0.2324281165130066
ATGC015,type_f0,1,1232727,1
ATGC015,type_f0,2,0,0
ATGC015,type_f1,1,535743,0.4345998749114767
ATGC015,type_f1,2,696984,0.5654001250885232
ATGC015,type_f2,1,955018,0.7747197879173572
ATGC015,type_f2,2,277709,0.2252802120826428
ATGC016,type_f0,1,896092,1
ATGC016,type_f0,2,0,0
ATGC016,type_f1,1,395101,0.44091566490940665
ATGC016,type_f1,2,500991,0.5590843350905934
ATGC016,type_f2,1,723357,0.8072351946005544
ATGC016,type_f2,2,172735,0.1927648053994456
ATGC021,type_f0,1,555714,1
ATGC021,type_f0,2,0,0
ATGC021,type_f1,1,241857,0.435218475690733
ATGC021,type_f1,2,313857,0.564781524309267
ATGC021,type_f2,1,431588,0.7766369031552202
ATGC021,type_f2,2,124126,0.22336309684477987
ATGC022,type_f0,1,533317,1
ATGC022,type_f0,2,0,0
ATGC022,type_f1,1,229951,0.4311713296219697
ATGC022,type_f1,2,303366,0.5688286703780303
ATGC022,type_f2,1,412787,0.7739993287294423
ATGC022,type_f2,2,120530,0.22600067127055767
ATGC028,type_f0,1,1745576,1
ATGC028,type_f0,2,0,0
ATGC028,type_f1,1,810813,0.46449596007277827
ATGC028,type_f1,2,934763,0.5355040399272217
ATGC028,type_f2,1,1459418,0.8360667195240998
ATGC028,type_f2,2,286158,0.16393328047590022
ATGC044,type_f0,1,217127,1
ATGC044,type_f0,2,0,0
ATGC044,type_f1,1,95615,0.4403643950314793
ATGC044,type_f1,2,121512,0.5596356049685207
ATGC044,type_f2,1,163581,0.753388569823191
ATGC044,type_f2,2,53546,0.24661143017680898
ATGC045,type_f0,1,370258,1
ATGC045,type_f0,2,0,0
ATGC045,type_f1,1,162285,0.4383024809727271
ATGC045,type_f1,2,207973,0.5616975190272728
ATGC045,type_f2,1,276434,0.7465983179296598
ATGC045,type_f2,2,93824,0.25340168207034014
ATGC050,type_f0,1,335890,1
ATGC050,type_f0,2,0,0
ATGC050,type_f1,1,136226,0.4055672988180654
ATGC050,type_f1,2,199664,0.5944327011819346
ATGC050,type_f2,1,241555,0.7191491262020304
ATGC050,type_f2,2,94335,0.2808508737979696
ATGC056,type_f0,1,793554,1
ATGC056,type_f0,2,0,0
ATGC056,type_f1,1,336772,0.4243844779309285
ATGC056,type_f1,2,456782,0.5756155220690715
ATGC056,type_f2,1,616846,0.7773207620401384
ATGC056,type_f2,2,176708,0.22267923795986158
ATGC058,type_f0,1,565253,1
ATGC058,type_f0,2,0,0
ATGC058,type_f1,1,237141,0.41953072341057895
ATGC058,type_f1,2,328112,0.580469276589421
ATGC058,type_f2,1,419616,0.7423507703630056
ATGC058,type_f2,2,145637,0.2576492296369944
ATGC069,type_f0,1,903297,1
ATGC069,type_f0,2,0,0
ATGC069,type_f1,1,398202,0.440831753011468
ATGC069,type_f1,2,505095,0.559168246988532
ATGC069,type_f2,1,735413,0.8141430780795242
ATGC069,type_f2,2,167884,0.18585692192047576
ATGC071,type_f0,1,1131079,1
ATGC071,type_f0,2,0,0
ATGC071,type_f1,1,491608,0.43463630745509374
ATGC071,type_f1,2,639471,0.5653636925449063
ATGC071,type_f2,1,917226,0.81093009418440265
ATGC071,type_f2,2,213853,0.18906990581559732
ATGC073,type_f0,1,1353085,1
ATGC073,type_f0,2,0,0
ATGC073,type_f1,1,596262,0.4406685463219236
ATGC073,type_f1,2,756823,0.5593314536780764
ATGC073,type_f2,1,1106663,0.8178813600032518
ATGC073,type_f2,2,246422,0.18211863999674818
ATGC075,type_f0,1,1243234,1
ATGC075,type_f0,2,0,0
ATGC075,type_f1,1,531268,0.4273274379561692
ATGC075,type_f1,2,711966,0.5726725620438309
ATGC075,type_f2,1,995253,0.800535538764223
ATGC075,type_f2,2,247981,0.19946446123577702
ATGC078,type_f0,1,1396781,1
ATGC078,type_f0,2,0,0
ATGC078,type_f1,1,600121,0.42964573544456863
ATGC078,type_f1,2,796660,0.5703542645554314
ATGC078,type_f2,1,1122058,0.8033170554295913
ATGC078,type_f2,2,274723,0.19668294457040866
ATGC095,type_f0,1,924824,1
ATGC095,type_f0,2,0,0
ATGC095,type_f1,1,395975,0.42816254768474865
ATGC095,type_f1,2,528849,0.5718374523152513
ATGC095,type_f2,1,680975,0.7363292907623504
ATGC095,type_f2,2,243849,0.2636707092376495
ATGC099,type_f0,1,1236044,1
ATGC099,type_f0,2,0,0
ATGC099,type_f1,1,537228,0.43463501299306495
ATGC099,type_f1,2,698816,0.565364987006935
ATGC099,type_f2,1,1000109,0.8091208727197413
ATGC099,type_f2,2,235935,0.19087912728025863
ATGC110,type_f0,1,1225899,1
ATGC110,type_f0,2,0,0
ATGC110,type_f1,1,512636,0.41817148068478727
ATGC110,type_f1,2,713263,0.5818285193152127
ATGC110,type_f2,1,950826,0.7756152831513853
ATGC110,type_f2,2,275073,0.22438471684861477
ATGC111,type_f0,1,1026412,1
ATGC111,type_f0,2,0,0
ATGC111,type_f1,1,443470,0.43205847164686306
ATGC111,type_f1,2,582942,0.5679415283531369
ATGC111,type_f2,1,838745,0.8171621142387268
ATGC111,type_f2,2,187667,0.18283788576127324
ATGC112,type_f0,1,1160405,1
ATGC112,type_f0,2,0,0
ATGC112,type_f1,1,488872,0.42129428949375436
ATGC112,type_f1,2,671533,0.5787057105062456
ATGC112,type_f2,1,893170,0.7697054045785738
ATGC112,type_f2,2,267235,0.23029459542142613
ATGC117,type_f0,1,333173,1
ATGC117,type_f0,2,0,0
ATGC117,type_f1,1,138591,0.41597308305294844
ATGC117,type_f1,2,194582,0.5840269169470516
ATGC117,type_f2,1,254213,0.7630060058888325
ATGC117,type_f2,2,78960,0.23699399411116748
ATGC120,type_f0,1,1222423,1
ATGC120,type_f0,2,0,0
ATGC120,type_f1,1,500339,0.4093010357298578
ATGC120,type_f1,2,722084,0.5906989642701421
ATGC120,type_f2,1,941897,0.7705164251654296
ATGC120,type_f2,2,280526,0.22948357483457035
ATGC127,type_f0,1,671744,1
ATGC127,type_f0,2,0,0
ATGC127,type_f1,1,287786,0.4284161823551829
ATGC127,type_f1,2,383958,0.571583817644817
ATGC127,type_f2,1,531023,0.7905139457888719
ATGC127,type_f2,2,140721,0.20948605421112804
ATGC134,type_f0,1,839786,1
ATGC134,type_f0,2,0,0
ATGC134,type_f1,1,373496,0.4447514009521473
ATGC134,type_f1,2,466290,0.5552485990478526
ATGC134,type_f2,1,687150,0.8182441717294644
ATGC134,type_f2,2,152636,0.1817558282705356
ATGC136,type_f0,1,744611,1
ATGC136,type_f0,2,0,0
ATGC136,type_f1,1,318929,0.42831626177964066
ATGC136,type_f1,2,425682,0.5716837382203593
ATGC136,type_f2,1,604794,0.8122281298557233
ATGC136,type_f2,2,139817,0.18777187014427668
ATGC138,type_f0,1,254274,1
ATGC138,type_f0,2,0,0
ATGC138,type_f1,1,109979,0.43252161054610383
ATGC138,type_f1,2,144295,0.5674783894538962
ATGC138,type_f2,1,191485,0.7530655906620417
ATGC138,type_f2,2,62789,0.24693440933795827
ATGC143,type_f0,1,580049,1
ATGC143,type_f0,2,0,0
ATGC143,type_f1,1,237316,0.40913095272985556
ATGC143,type_f1,2,342733,0.5908690472701444
ATGC143,type_f2,1,411812,0.709960710215861
ATGC143,type_f2,2,168237,0.29003928978413895
ATGC145,type_f0,1,544648,1
ATGC145,type_f0,2,0,0
ATGC145,type_f1,1,236385,0.43401426242270236
ATGC145,type_f1,2,308263,0.5659857375772976
ATGC145,type_f2,1,397093,0.7290819024397409
ATGC145,type_f2,2,147555,0.2709180975602591
ATGC146,type_f0,1,897882,1
ATGC146,type_f0,2,0,0
ATGC146,type_f1,1,395550,0.4405367297707271
ATGC146,type_f1,2,502332,0.5594632702292729
ATGC146,type_f2,1,691581,0.770235955281429
ATGC146,type_f2,2,206301,0.22976404471857104
ATGC152,type_f0,1,422445,1
ATGC152,type_f0,2,0,0
ATGC152,type_f1,1,181740,0.4302098498029329
ATGC152,type_f1,2,240705,0.569790150197067
ATGC152,type_f2,1,323957,0.7668619583614436
ATGC152,type_f2,2,98488,0.2331380416385565
ATGC155,type_f0,1,303572,1
ATGC155,type_f0,2,0,0
ATGC155,type_f1,1,137813,0.45397138075975385
ATGC155,type_f1,2,165759,0.5460286192402461
ATGC155,type_f2,1,229631,0.7564301055433308
ATGC155,type_f2,2,73941,0.24356989445666927
ATGC159,type_f0,1,673783,1
ATGC159,type_f0,2,0,0
ATGC159,type_f1,1,304232,0.45152816262802714
ATGC159,type_f1,2,369551,0.5484718373719729
ATGC159,type_f2,1,559637,0.8305893737301179
ATGC159,type_f2,2,114146,0.16941062626988215
ATGC169,type_f0,1,719826,1
ATGC169,type_f0,2,0,0
ATGC169,type_f1,1,318549,0.4425361128939494
ATGC169,type_f1,2,401277,0.5574638871060507
ATGC169,type_f2,1,598019,0.8307827169343702
ATGC169,type_f2,2,121807,0.16921728306562975
ATGC171,type_f0,1,497387,1
ATGC171,type_f0,2,0,0
ATGC171,type_f1,1,217855,0.437998982683504
ATGC171,type_f1,2,279532,0.562001017316496
ATGC171,type_f2,1,372270,0.7484514070532603
ATGC171,type_f2,2,125117,0.25154859294673965
ATGC173,type_f0,1,1200869,1
ATGC173,type_f0,2,0,0
ATGC173,type_f1,1,533633,0.4443723670108896
ATGC173,type_f1,2,667236,0.5556276329891103
ATGC173,type_f2,1,993582,0.8273858347579961
ATGC173,type_f2,2,207287,0.1726141652420039
ATGC178,type_f0,1,837109,1
ATGC178,type_f0,2,0,0
ATGC178,type_f1,1,359474,0.42942316950361303
ATGC178,type_f1,2,477635,0.570576830496387
ATGC178,type_f2,1,618078,0.7383482915605972
ATGC178,type_f2,2,219031,0.2616517084394028
ATGC181,type_f0,1,753492,1
ATGC181,type_f0,2,0,0
ATGC181,type_f1,1,328408,0.43584802492926267
ATGC181,type_f1,2,425084,0.5641519750707373
ATGC181,type_f2,1,556861,0.7390403614106056
ATGC181,type_f2,2,196631,0.26095963858939447
ATGC182,type_f0,1,860310,1
ATGC182,type_f0,2,0,0
ATGC182,type_f1,1,375328,0.4362706466273785
